Epoch,Training Loss,Validation Loss
1,0.589910,0.535825
2,0.514031,0.556749
3,0.495963,0.693405
4,0.491528,0.495920
5,0.486089,0.502172
6,0.480643,0.465332
7,0.472598,0.475065
8,0.467105,0.470367
9,0.4639622101607305,0.46509880845924073
10,0.45886084312297376,0.46589084066075387
11,0.45297938089024287,0.45219481087845864
12,0.4498011035178973,0.4787127169773733
13,0.44387024797041924,0.4590936949570402
14,0.4382662513034438,0.45433469899266743
15,0.432362523508201,0.4500983599707377
16,0.4276273271694295,0.4466920718014669